Prompt,Model Response
"This week was somewhat of a breakthrough in the jobsearch.  I even got an offer for a job I had to refuse.  On Tuesday I got two phonecalls.  One was from Turning the Page, an organization that does professional development for teachers and connects communities to schools.  They were calling for a second interview.  The other was from Hispanic CREO, a group that advocates for school choice reforms.  They offered me a (well) paid internship until something else comes up.   I had my TTP interview yesterday, and I think it went really well.  I don't want to count my eggs before they hatch, though.  I have no idea what my competition looks like!

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  No
"Well, I know it’s been a little while since I last spoke, but I’m extrodinarily lazy, so it’s ok...  All five of you are probably wondering who it was that responded to my last post.  That would be my girlfriend *hears in the background “awww...”*.  Anyways, from the time I last posted, not much has happened.  On Wednesday, I got pulled over by a cop on my Vino Scooter(which in VA doesn’t require a license), he pulled me over and asked for my ID, which I readily supplied; he looke it over and said he had no problem with me.  He then proceded to say that he’s had complaints about mopeds in the area(a motoscooter is classified as a moped here) and he also wanted to warn me about a new law passed a few days ago requiring all moped drivers to carry an ID with Name, Address, and Birthdate.  I said ok and sped off on my merry way.  I wouldn’t have had so much trouble with him if he hadn’t blared his siren at me.  Anyways, on Saturday, I went to Tyson’s Corner Mall(The local really expensive mall) for about half a day.  I went up and was going to go to a few classes at the Apple Store.  I attended half of one and the others never happened.  No real big deal for me, but I really wanted to attend those, and now I will never have the chance *sniff*.  Ah well, such is life.  Anyways, Tuesday is Medallio’s Birthday, if anyone in the area knows her and reads this blog, wish her a happy birthday.  Goodnight and may Eris stay the Heck away from you,  David

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"Jesus.  Great bloke. Great head of hair.   I'm issuing a challange to everyone. To guys lucky enough to be blessed with long locks. To girls looking for something classic yet bold on their ball nights. Print out the following image of Jesus Christ and present it to your hairdresser. Ask them for ""The Jesus"". If they're a decent stylist they'll know what to do.  Why is Jesus' hair so underrated? Check out that colour. So... brown. And the volume! My god. Don't even get me started on the parting.  On second thoughts, I can't be bothered posting the image. You all know what Jesus looks like. And if you don't, consult your bible.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"Some times a person is so confused that he doesnot know what is he doing here in this world..he just lives the moment and doesnot plan anything....I do a lot of such stupid things in my life... and that make life so much packed that some times i feel that i do not have time for myself..why am i living like a fool and again i do not have time to sort this out....        I remember when i was in school I had the best of the friends one can have and there used to be a great joy or some good feeling when we used to sit together in the play time and during lunch time etc etc.... then as I grew i still have friends but its kind of different probably i need to feel good for all my real professional friends but i kind of like the people who consider me their yar and take me for granted....any way i can change myself thus i too am bit professional( i donot know if this word suits here) when it comes to friendship...keep it simple....But then you miss that kind of a friend who is really reliable and the one who you can go anytime when you have a problem... but then i guess its time to live yourself that's to solve your own problems and have a peacefull life....

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"Ok. Frusterated? Yes. Why? B/c this is like the third time I am trying to post someting on this site.   Blog. So, if you look at dictionary.com, you can see that Websters had already included a defintion for the word blog. I have only recently only heard the word blog. I can't believe it's already in the dictionary. Wonder if it will also be in printed dictionaries, or just an online one.   So, thanks to my ubergeek sis and some other friends who attend nerdrus lawschool, I am now aware of the relatively new phenom of blogging. Courtesy of Mac. I love my mac. Mac is to a PC as a Manolo Blahnik's are to Payless. That's just the way it is.   All right, going to see what happens with the ""blog."" It will turn out one of two ways. Either, I will continue to bore whatever readers somehow happen upon my site. This will be the result of intolerable lectures I will feel better spent in a stream of conciousness. Option 2 -- I get bored of blogging, and forget about it for a while. By the time I think I'd like to give it a go again, I have forgotten my username and password, and am SOL.   Stay tuned to see which way the cookie crumbles.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes
"i get to go to practice tonite. im gonna call eryn later and sing to her, but i dont know what yet. im thinking maybe i dont wanna miss a thing, but ill prolly come up with something better by then. My head hurts so bad, and its my fault because i kissed her when she had a cold. Thats what happens, people tell me not to do stuff, but do i listen? No. Why? Because i have the attention span of a squirrell. i hope we get to the end of the show tonite. speaking of which, i have to get going! my head hurts so fucking bad. i think i might barf, which will be cool, because ill barf all over jarrod. he'd enjoy it. school sucked today, just like any other day. it wasnt as bad as my orange days, becuase i had ""a"" lunch and i had mr roach in class today and he told the funniest joke. but i pulled an eryn and forgot it in favor of a story which eventually unfolded into this update. oh, im going to be posting from my previous journal, so dont freak out if you see an entry on here from June. YOURE NOT TRAVELLING BACKWARD IN TIME! i have to go now. wow, saying goodbye to this blog is almost as hard as saying goodbye to eryn. im not gonna kiss the computer, tho. i dont love it as much as i love eryn, and itll prolly give me a bug too.  Quinn

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"I'm finally catching up with the computer generation, and have created a blog site--Wow!.  As far as I'm concern this is what I've been waiting for --a place to be ""Me"" and tell how the Cute Uke continues to survive.   Let's get going... Today was another cold day in North Dakota.  You'd think in June, late June that you'd be able to wear some fun summer clothing....but no it's 64 degrees, let me repeat 64 degrees, doesn't God know it's SUMMER in ND.  The state that never has consistent weather, so we wait for summer and drool over every warm day as if it's our last, and even more of a score is the day that the wind doesn't blow, thus today I got the double wammy no warmth and gee we'll throw the wind in just for fun.  It's really wearing on people's patience.  But enough wining from me.  I'm so glad Courtney turned me onto this, Lindsay has done it for ages but I hadn't seen her site; but tonight she's going to show me her's as well.  Okay here's the deal I'll do my best to blog on a regular basis, but I'm not going to force it.  When it's right it'll happen. Bye and Thanks for being here for me....you'll help I just know.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"QRF (Quick Reaction Force) for those who are not in the military the job of QRF is to be the first responser to any threats happens on camp.  QRF night, like most of my QRF duty I spend hours looking at the night sky. QRF is lame and that shows you how much action this camp gets. Well Iraqi night sky is nice its almost as nice as the Hawai'i night sky. Of couse hawai'i is at a much higher location. The city just don't know what they are missing. I just wish I have a camra that could take picture of the stars so I could show it to people back home. As I lay on top of my hmmvv staring upward at the sky I easy counted hundreds of stars. However I wasn't bore enough to name them. Even thought I feel that they needed names. About an hour into endless staring I notice stuff are flying across the sky. They look like tracer rounds. I was like wow we are under attack. But hmm.... they look like they are 300 miles up in the air. Than I was like well they are shooting no were need us so I just watch the growing stuff flying 300 mile over me for 3 more hours. By the way I did see few huge growing flying stuff fly across the sky. That could of be a missile or a meteor burst. If its a meteor I am going to name it ""shooting cock shit"".

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"My cat, Dolemite, who passed away about a month ago was actually just away and came back. I still had Gunther and they seemed to get along ok. The odd thing was that I had given Dolemite some hot sauce in a playful manner and he had thrown it up on my rug. I don't know what the hot sauce means, but I do know that seeing Dolemite means I still miss him.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"HEY WHATSUP...i doubt anyone will ever ever read this...least on a regular basis...but who does? ya i just needed a place to put everything down on paper...or w/e this stuff is made out of... and also i made this for all those boring days in the summer where this just might cross your mind and then u can read it...so if u read it then awesome, this is just mostly me talking to whoever wants to hear aight...aight......so ya comment if u have any other enlightening comments u wanna make or if u just wanna make fun of me...Thanks...i appreciate it...o YA Jenilee thanks with the hard thought naming process...        So i guess ill start this whole thing by telling a funny story...ya it happened i guess 3 days ago and anyways i was at this grad. party @ the duffies and well it was pouring down rain of course and everyone and their cat was there. So i had to go and park half a mile down the road  and run to their house in the flood...and ya i know im dumb but i wore those really cheap old navy sandals and well lemme tell ya... you cant run in themm...especailly if theyre wet...ya basically im saying that i fell on the way there but i eventually got there and it was packed out... but the food was good and the people were cool so i had fun for the most part until i discovered the chips and hot sauce...IT WAS SOOO good...i loved it..it just set ur mouth on FIYYYAA  but not too much and ya it was goodddd. So you would probably think thats a good thing but i was chilln upSTAIRS and so i'd have to go up n down em to get more...well so i run outta chips and so i get up to go down for more and im headin down the stairs and i catch glance of this amazingly hott girl(not sayin who) and well i guess i lost focus for a second cuz my hand with the plate of hot sauce hit the side rail and i missd a step and ya the plate toppled all over the white carpeted stairs... and all over mrs. stark who was sitting on them for some reason?? so ya it was embarrasing...especially asking mrs duffie for something to clean it up with... mrs stark wasnt mad..PHEW and it ended up bein alrite besides the embarrassment...so basically the moral of the story is Never NEVER eat the hot sauce at those so called ""GRAD PARTIES"". just don't...its not worth the risk...the RUSH is only for a second...but the consequences they never go away...so DONT...Do...GRAD Hot SAuce...       THE MORE YOU KNOW...

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"Just last night I was watching the news and the headlines said that the man who was running the government in Iraq is dead. Assassinated by a bomb. Someone said to me after hearing that 'Well, Iraq's not going to go away in a hurry!' I want it to go away and leave me to my life.  You've gotta wonder what goes through the head of someone just before their car explodes.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes
"""Marriage, Marriage is what brings us together, today."" -- The Princess Bride      Women can be frustrating. My girlfriend and I just had a very important discussion two weeks ago about getting married. She then left to go on vacation for two weeks with her family. Since she leff, I keep thinking that she will say she doesn't love me and doesn't want to marry me. I've told her I love her and that I want to marry her but haven't yet proposed.      She is the type that likes to know all about what's going to happen before it happens. So she asked me all about the future and what I think about when we should get married and what will happen after that. I told her I want to marry her in December. She objects because she is a school teacher (like me)and that is a busy time of year. I'm okay with doing it another time (like June) but I love her so much and want to begin my life with her right now.      Anyway, I'm ultimately worried that she will get scared and run away. But I'm probably being stupid and untrusting. She cares very much for me and I know that for sure, so I should just be content with that.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"im so excited I GET TO GO EARLY!!!! my mom said yes actually all i asid was can i go early i didnt say who i was going to sleep with or what so haha. i hope they have alcohol cuz i really want to get drunk. hehe well ill update later.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"So alot of weird shit has been happening to me lately. For some reason, a reason which ill-ludes me, I can not seem to have a normal everyday boring relationship. There always seems to be some kind of drama or opstical. One of my more intelligent female friends seems to think it's because I don't choose the right kind of women, i should remind her that there aren't many women out in the world like her. Well if anyone has any tips on what is the right kind of women, I'm open to suggestions. Maybe it's that I just don't know what I want. I suppose when one thinks about it, my issues aren't that different then anyone elses but that doesn't help me feel like i'm not alone in this deal. I guess when it comes to these situations, in the end we are all really just alone in a crowd...

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"The new kittens are doing great! They are over their bout of Calisivirus and are tearing through the house. Exploring every corner, every piece of furniture, every other cat or dog, and of course any plate, cup or glass they can get their paws on, head in. Kittens are such fun. Why don't you go out and adopt one or two today?

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes
"Its fun to the max, this whole writing on the computer thing. This way I don't have to freak out about my messy handwriting! Seeing as this is my first post, I am not going to take the time to voice opinions, share thoughts, examine beliefs, view ideas, yeah, you get the picture? The reason for that is because I am, well, first of all tired and second, I am...well, tired! There you go...I am just about having fun in the Lord and not having this whole pious, reverent aura about me, all the time. My God is one of crazy...in a sense. Hey now! Not crazy like...Terminator/Governor crazy, but a sense of him being just crazy for us and us being wild for him!    Shoot, I just voiced an opinion...

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes
"i really dunno wad is wrong with me... normally i am rather heartless with no feelings or wad so ever... if the person offends or make me unhappy i usually wun bother and my usual respond will be    wadever       or       screw you    ... but now i am plagued by the worst feeling ever...    jealousy     ...    and i hate it... haiz got to remind myself not to let this ""thing"" take over me... haiz.... blah blah blah...

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"Who said that books should cost this much?  Seriously, most of my ""play"" money I saved up from working all freaking summer was spent today on books.  Ok, not really MOST of it (I did save up a lot), but it put a substantial dent in it.  $300.  Bastards.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes
"I haven't written any diaries or any other sort of it for a long time.. Not since my last relationship was over a year ago.. But the pain and hurt and unsecurity I feel right now are just too much for me.. It's been overloading and ready to explode.. I need to let it out somehow.. I just can't let it out to the person that actually needs to hear it most..  I don't understand why I'm always in this kind of relationship over and over again.. Why am I always with a man that has no future.. It's always ""no hope-no risk-no commitment"". I don't choose whom I fall in love with.. But it's always men like them..  The man I'm with now is the perfect example of my stupidity.. He's younger than me, we have nothing in common, he's too goodlooking, and not ready for a serious relationship.. I knew that from the very beginning. But somehow, I still let myself to fall in love with him. Why the hell would I do that? Doesn't my brain tell my heart what to do? Is there no connection at all between them?  I've trying to give this man everything.. I thought somehow I would melt his heart and make him fall in love with me.. Oh, I sound so pathetic now.. But now, after 9 months together.. Nothing has changed.. He's still and will never be the man I want him to be.. He make me feel so unsecure.. Especially when it comes to other women. I'm a jealous girl.. He knows that. And it doesn't stop him to get in touch with hix ex's, keep their pictures in his laptop, looking at other girls when he's with me, cooking for other girls and invite them to come over.. If he already has me, why would he do that, right? And what the hell am I doing with him until 9 months? I can't walk away from him.. I wish he copuld change someday.. Somehow.. I don't understand why he's doing this to me.. Does he realize how much he hurt me?  I don't know why I'm typing this.. I should be talking to him no and break up with him.. It would be so much easier if there's no love. I don't want to lose him but it's killing me everyday from all the pain he cause me..  The answer to my problem is so clear. Why can't I just take it? What's wrong with me?

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"Today Jay and I went and looked at a few houses.  The one I liked the most was temporarily taken off the market, but anyway.  We found 2 more that had potential in them.  In the mean time we are still on the look out for the right house.  I am now free of paying off my car because today I made the final payment.  YEAH!!! YEAH!! YEAH!! It is about time, 5 years seems to long.  Anyway, it is raining right now and I am on the last chapter of my book.  Can't wait to finish it to start on my other 2.  Until the next post.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  No.
"Can I just start by saying I never would have thought that Burger House was a very social place. I mean, seriously. That, and Greg's, but Burger House more. Let's start out with the beginning on the whole thing, shall we.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"Ohhhhhhhhhhhhhhhh man, I always hate Sunday mornings because of what I do on Saturday nights!  I really should be working on the new  urlLink Urban Boy of the Week  page, because a few of you guys have e-mailed me about it.  I'm not sure that's gonna happen today, though, because I am really HUNG (over) ... haha.  I think today may be a day of rest!  BTW, if you want to be the VERY FIRST featured hottie for Urban Boy of the Week, now is a good time to let me know!  E-mail me at:  urbanboys AT hotmail DOT com

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes
"urlLink    This is at ""A Week On Broadway"" camp at KSU. That's everyone, it was pretty awesome. What am I doing with a few other people?? Holding up a diamond. Our groups formation was in the shape of a diamond on the day that we danced. Well, anywho. That class was SO awesome, mainly cause of the people.  urlLink

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes
"Hey all =) Just created this blog,  urlLink blogger.com  seemed the most attractive one to use of them all, and you can see from my description that I'm trying to find a way to create a Flash based blog. This may take a while so I'll probably be using this blog for ages =)  There isn't gonna be any structure to my 'blogging' here, just random stuff I think up along the way.  It's kindof a p*ss take that I'm off on holoday tomorow morning for two weeks till the 14th of July so I won't be able to update it till then lol, but anyway, when I get back I'm sure I'll have loads of stories to bore ya with...  A bit about me, hrmmm. I love to do web design and graphic design, though I may not be all that good with it =) I've just started to get into vector images and animation, and you can see a small sneak peak to what I'm working on over at  urlLink timewaste.co.uk . Another site I recently made is  urlLink blurbreviews.co.uk , and this is still going, I just haven't had a chance to add to it, specially with hols tomorow =/   Chears =)

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes
"School is finally out. I think that graduation went pretty well. I cant wait until high school. It is going to be so much fun with all of my friends and new teachers and etc. lol. It is sad to be leaving teh grade school and all our past teachers and jr high, but they have prepared us for bigger and better things and we are ready. so everyone enjoy your summer and make sure to rite comments to me.    MaTT

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  No
"You say hello, inside I'm screaming I love you You say goodnight, in my mind I'm sleeping next to you. You drive away from my car crash of a heart And I don't know... But you gave me the best mixtape I have And even all the bad songs ain't so bad I just wish there was so much more than that, about me and you.. You talk to him, and it burns me like the sun You talk to her, and you say that you feel Like he's the one I talk to me, but you can't hear the pain I Feel, you don't know.. 'Cause you gave me the best mixtape I have And even all the sad songs ain't so sad I only wish that there was more than That, about me and you.. Oh, don't turn around and say bye again Yeah it crushes my head when you call me Your friend and I'm not the same person From back in the day in the back of the Class that you thought was gay No I can't find the words 'cause I lost them The minute they fell out my mouth And it's love and I'm in it, so give me your Lips and just let me kiss 'em and let's Get messed up and listen to possibly.. The best mixtape I have And even all the bad songs ain't so bad I just wish there was so much more than That, about me and you --Mixtape, Butch Walker  WELL, I'm eating some Rice Krispies...yummers. And I be leaving for the lake in about an hour..so...I'll be back on Thursday sometime and then at Folkfest on Friday and Saturday..yaaaaaaaaay...okay, yes..bye..

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"Being really bored again... I shall post.    Yesterday I went on a date with Elise. We went to see King Arthur. The theatre was nearly empty because it was 4pm on a Tuesday, but these two fat men sat a seat away from us. I think I counted 7 other people in the whole theatre. Not to mention one of these guys got on his cell phone for about 30 minutes. HOLY SHIT!!! I swear, some people need to be shot. Anyways, after the movie we sat in the parking lot debating about where to eat. Of course Elise refused to contribute, except for places within eyesight, so I had to choose. We finally went to Orlando's  where we proceded to eat overpriced (but very very good)  food. Afterwards we went to Elise's mom's house cuz her mom had made a chocalate cake. I stayed for about an hour then went home. I would have stayed longer, but I didnt want to overstay my welcome (especially since I havent been there in quite some time). All in all, I think the whole thing went pretty good.   Today I woke up at noon, which I HATE doing, but I was so tired. Yesterday I had to wake up really early to take Olivia to someone's house cuz my dad was going out of town. He goes out of town almost every week for his job. Olivia goes over to one of my dad's friend's house so I dont have to be chained down watching her. There are 4 other kids there which she gets along with fairly well, but she always wants to come home. Go figure. Our house is so boring.   Well, I gotta go figure out what to make for dinner. I didnt plan on Olivia being home so everything is frozen. Dinner should be interesting tonight.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"haIZ....frOM laSt wEek i keEP on goiNg out..but...hOme woRk noT donE.hEng aRH my paRentS diN cheCk on mE.wELL i gotTa noW thiS guY from my oBs camP.hiS coOl so i weNT out wiT him bouT twiCe.hE has lots of in common with me..bUt saDly..he lYke othEr giRl.so..hm..so forget bout him..well i really can't wait...for school to open..meeting my fwenz back again.bUt my homework not Done...haiZ...go sChoOL suRe kenA scoLDing..arh...wELL..i haTe nPCC..i lOSt inteRest in NPcc bUt too BAd.i aM nevEr goNNA taKE the SerGent raNk.i haTe being uSed by my fweNz u noe  argh..waT the fish in the ponD.aRgh juZ waIting for sCHooL to oPen........tiLL deN peaCeouTz - dewiZ

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"Today was the last day of Lakeland Music camp, and that's a bad thing cuz that means I don't get to see Mello for a long time. *Tear*. But we'll still see effort to see each other. I'm breaking the mold from all the other posts (2), and I'm doing this bad boy in the middle of the day rather than at the end of one. I'm talking to Mello right now, and soon I'll be goin to the alumni football game, but that's to hear the alumni band. Should be fun. Maybe. Until we meet again, Bacon out.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes
"Still, I can’t put myself to really use this blog as a personal public viewed journal. I believe that a journal and its content should be private. I think a person who blogs is either a boastful person or a person who is just lazy to use a pen or, a person who’s penmanship is so bad that even he/she could not recognize his/her writing. In any case, each person has his/her own opinion about the matter and I should respect that even if I don’t like it.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"Alright, this is my first Blog post. So, I guess i'll write about what happened today. Well, just like the res of this week, I went to sleep at 4a.m. thanks to my damn headaches. So, I missed school, again. I supposed it can't be helped with all my damn problems, and the operation I had last week but anyway.   I got exams next week! Not good, I only started studying an hour ago, and the exam's on Monday. Of course, i've always been one to procrastinate with my work and studying, it's just that now I have an excuse as to why i'm going to fail! Sigh!   This weirdo called ""Yen-Po"" wants to come to my house. He's this weird homosexual with alot of issues. I'm not sure I want to see him because he said he ""wants to see me"" which conjures up some pretty vivid images in my sick little mind.   I had a really weird dream last night. I was at the cinema, eating popcorn. Out of no where i'm sleeping in a bed with some weirdo and they are holding a cane. At that point I woke up, and then when I went back to sleep I had rather enjoyable dreams about my school, and how I was causing it mass destruction. Ahh, the joys of an unconcious mind.  Well, this is it for my first post, i'll be back later - Kalinixta.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"Ok, I'm a little nervous as this is my first blog post ever! Please bear with me! The purpose of this blog is to allow me to vent my daily observations.To those who know me, these would not be the ""Happy"" positive things I see but the negative cynical things with hopefully a twist of dry humor mixed in. I am not Politically Correct, nor am I Racist. Just an honest opinionated asshole! Those who are offended by my remarks. The hell with you. Leave; this is MY forum! --Thanks

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes
"well i get to leave on either sunday or monday im not sure it depends on if mary will want to take me early with her or not. well im so excite because either way i get to leave for a whole week and meet people that ive never met b4. im so excited. oh and i dont know but steph might come out there that whould be cool. well god i thought i had a lot to say but i guess i dont.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  No.
"argh im sooooo  BORED!!  jeez theres almost  nothing  to do in the summer...i still have to do almost all my honors english homework...so far i only read the part in the writing book...thats been really helpful with the worksheets...and i read one essay, did the worksheet, and one paragraph of the summary...still have to do 2 more paragraphs and the reaction-critique thingy...and read 3 more essays, do the analysis worksheets, summarys, and reactions on them...ARGH...next week im going to DC for a missions trip with my youth group...yay i can't wait...Jason will be there and Jake...ill will feel really safe...i did last year w/ Jason and now my brother will be there so ill be 2x as safe...yay...lol...Jake makes me feel really safe for some reason even tho we like never (!) talk...but oh well...i remember once on the bus i was sitting with Kim and two guys were sitting behind us and they were like kind of making fun of me and Jake was sitting behind them and the one guys like: ""Ok...we better stop..."" and the other ones like: ""Why is that her brother back there?"" and the first ones like: ""Yeah...i know him..."" so then they stopped...it was kind of stupid and very not important, but oh well...it just popped in my head, and i write whatever is in my head...which is not much but thats ok...     my little brother is so mean...whenever friends come over, he offers if they want to play XBox or computer or w/e and if they say yes or no, HE's the one who plays even tho he can play any day he wants...and just a few minutes ago, he sent one of his friends home so he could go to another friends house...isn't that rude? jeez...i would NOT want to be Victor's friend...i hate being his sister...    well thats about it for now...not much to talk about in the summer cuz its sooo boring

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"God, it seems like no matter how hard I try there's nothing right in this world for me to hang on to...  Everything is so fubar.  What I wouldn't give to just go back to Italy!  Everything here in the states is so...  Arrogant and so brisque!  I suppose it doesn't really help that I'm in the middle of nowhere, but still.  The people of Napoli were better.  And they didn't give me the troubles that women here do.  No matter what, I can't seem to decide.  M, with her amazing beauty and sweet innocence, as opposed to N, with her attractive playfullness and OBVIOUS willingness, or B who I could have for as long as I wanted to be there, with a hug and with support, and to love me, but with intimacy extending only as far a kiss at the end of a date...  How do I decide what's more important?

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"It has been crazy getting here, as I started this journey on 24th April. I have just started working again last week. I set off late on Saturday with my pick-up truck and a U-Haul trailer full of all my stuff and made it to Arizona (2415 miles) in 3 days. The truck then promptly broke down 70 miles away from my cousin’s house! What are the chances of driving that far and then it packing up on her doorstep?   After 2 weeks the mechanics at the garage managed to figure out the computer had gone on the truck and that is why it had stopped which would have been great if it had not been the air sensor that was the problem. Although I did get to do some of the best mountain biking of my life in a place call Sedona, AZ so who cares?!   With the truck still out of action, I was forced to ride to California on my Triumph 955i motorcycle, through some of the best desert roads on the planet - life is hard sometimes! When I got to California, Scott a friend of mine put me up in his house in Orange County, which was very cool of him as I stayed there for 3 weeks and he never once complained about the smell. I had a copious amount of job interviews during this time and was offered a number of them, but in the end I have gone back to working for Rentokil-Initial for the third time!   Therefore, with a few weeks to kill before I was due to start working again, I went off for a ride on the Triumph up through the mountains of California to Lake Tahoe. Tahoe is one of the most beautiful places I have ever seen and well worth a visit if you are ever out this way. I then rode back down through the deserts of Nevada past Area 51 and Death Valley to Las Vegas and back to my cousin’s house in Arizona. It was good to relax, do some camping, laugh and point at fat Americans and take some time out.    So I am now back to working in the Tropical Plants Division, selling plant services (selling flowers in San Francisco may sound a little gay to you and to be far it is!!).   I am happy out here in San Jose, it is incredible. It has a wonderful climate, is close to the sea and mountains, San Francisco is also really close and Lake Tahoe is only 3 hours away for some great snowboarding!! I am so happy to be out of New York!  Thanks for visiting my blogger!  Ian

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"It's the middle of summer and I can't sleep, I haven't talk to my friends in a while I wonder what they been up to. Anyways I've leaned something this summer about me. One thing being why I feel depressed and why I get irritate easily. I've discovered that when I'm not with a crowd of people I don't feel depressed or get irritate easily. Which is like my brother which sucks because all school is a crowd of basically adults acting like 6 year olds.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"Well for someone with an abundance of thoughts spilling out of her head, I'm having difficulty committing to writing them down. Maybe it's the heat, as we usually experience a much shorter summer . It's not as green and lush here as in previous summers. This global warming isn't just talk.      People are coming and going in my household. My youngest son Kevin has just returned from his week long summer camp. I was abit horrified to find that he had certainly packed along a visually controversial book for a christian based camp. I'm glad they didn't find it in his possession. They might've freaked out just looking at it, (Diablo, legacy of blood). He's almost fourteen and plays Diablo on the computer all the time. It looks like a skeletal grim reaper on the cover of it. Ahh, the joys of a young teenage boy. The sounds of his drumkit pounding on a summer's day, with our windows open for the neighbourhood to enjoy. The young teenage 'friend that is a girl' that comes to call, all giggles and cute.      My 'middle child', Kimberly, now twenty and working hard is two weeks away from flying back east to start her third year of university in Toronto. The anguish she'll experience to leave her boyfriend behind, once again. Been there, done that, but what does a Mom know. I think she's got it made, with her girlfriend in a great apartment downtown Toronto. Two girls going to school and experiencing life in a big city. Wish I had that opportunity at that age. What's the rush for commitment? I don't know too many young guys with a game plan at twenty. And that is alright, so they take abit longer to figure it out. Why botch them up forcing them to make decisions concerning women at such a young age? But I am the Mom, what do I know about such things. Hmmm.      I have one more 'child'. At this age, my least stressful one. Trevor, he's twenty-two. He's working full time, does apprenticeship training six weeks out of the year, he's doing OK, not too much to worry about there. He's a happy guy. His PIA days were when he was about 14- 16. He's got a very nice girlfriend, keeps him in line.      Well maybe I'll stop there for today.My real stresses are in the toothful tales of working in my dental office. I'll save that for another day....

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"This is my first entry, and I must say, this site looks MUCH better than livejournal.  For those of you who are reading this, my name is Meghan, and I am addicted to caffiene, video games and the internet.  Some of the sites I like to go to are:Gaia(my sn is Abbi Normal if you want to contact me), Kingdom of Loathing(Ilove that RPG), and The Best Page in the Universe(Maddox is god).  Not much is happening in my life at this moment, with summer vacation and all.  Ok, that was a lie...I'M GOING TO DISNEYLAND NEXT WEEEK! I'm so fucking excited.....   .....I've nothing else to add today.

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
"urlLink Come, Now Is the Time To Worship (Brian Doerksen) - Vineyard Music Discography    When I read the words part of me still says 'How corny...' and then I blush because this particular song on the cd I was given has gotten me through the past few days.  When I hear it it is like a call to the mountainside at sunrise.  I feel a heartbeat and it makes me feel a little more alive. It has intensified my prayer, and surely that can't be a bad thing?

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes
"Ok, it's the weekend before my first exam! Biology...hmm I did 6 hours of study today, 3 practice exams, and I still have to learn the theory more thoroughly! Stupid viruses...meanwhile, i'm waiting for my mum to bring the pizza home, so toodles!

Is the person who said this depressed or not? Answer only in a Yes or a No.",]  Yes.
